education,id,location,position,raw_text,timestamp
北京 海淀区 中关村3-5年本科,1,,TikTok体育产品策略运营,"TikTok体育产品策略运营

20-40K

北京 海淀区 中关村3-5年本科",2025-09-19T22:25:31.296320
北京 海淀区 苏州桥5-10年本科,2,,银行合作产品运营,"银行合作产品运营

25-50K·15薪

北京 海淀区 苏州桥5-10年本科",2025-09-19T22:25:31.301066
北京 朝阳区 大望路1-3年本科,3,,,"创意视觉设计师-生活服务

20-35K·15薪

北京 朝阳区 大望路1-3年本科",2025-09-19T22:25:31.304900
北京 朝阳区 望京经验不限本科,4,,,"c端用户产运

15-30K·15薪

北京 朝阳区 望京经验不限本科",2025-09-19T22:25:31.314386
北京 通州区 马驹桥经验不限大专,5,,,"美团品控IQC

6-7K

北京 通州区 马驹桥经验不限大专",2025-09-19T22:25:31.318470
北京 朝阳区 望京3-5年本科,6,,商品运营,"商品运营

18-35K·15薪

北京 朝阳区 望京3-5年本科",2025-09-19T22:25:31.322366
,7,,,"安全调查专家-M0336C

15-30K·19薪

北京经验不限学历不限",2025-09-19T22:25:31.326670
,8,北京 大兴区 亦庄经验不限学历不限,零食产品开发,"零食产品开发

25-40K·16薪

北京 大兴区 亦庄经验不限学历不限",2025-09-19T22:25:31.330288
北京5天/周3个月本科,9,,,"供应链管理实习生

150-200元/天

北京5天/周3个月本科",2025-09-19T22:25:31.334472
,10,北京 朝阳区 朝外1-3年中专/中技,,"京东正编体检部护士

6-8K

北京 朝阳区 朝外1-3年中专/中技",2025-09-19T22:25:31.338210
